isbn,title,author,year
0590554115,Briar's Book,Tamora Pierce,1999
0425241505,Dragon bound,Thea Harrison,2011
0393318486,How the Mind Works,Steven Pinker,1997
0385732554,The Giver,Lois Lowry,1993
0743453964,Executive Power,Vince Flynn,2003
0743269268,The Virgin's Lover,Philippa Gregory,2004
0425270696,Magic Binds,Ilona Andrews,2016
0440975344,Rumble Fish,S.E. Hinton,1975
0060608528,Gemeinsames Leben,Dietrich Bonhoeffer,1939
0525953507,The Stranger,Harlan Coben,2015
0671042572,Jewel (Oprah's Book Club) ,Bret Lott,1991
0679879242,Northern Lights,Philip Pullman,1995
0316043893,The Castaways,Elin Hilderbrand,2009
0676977731,The Birth House,Ami McKay,2006
0007158475,Fox in Socks,Dr. Seuss,1965
0345544927,Leaving Time,Jodi Picoult,2014
009959241X,The Moor's Last Sigh,Salman Rushdie,1995
0330311735,One,Richard Bach,1988
0874778883,Sieben Jahre in Tibet,Heinrich Harrer,1952
0452298385,Blackberry Winter,Sarah Jio,2012
0345497457,Shugo Chara! 1 (Shugo Chara!),Peach-Pit,2006
0553119222,Death on the Nile,Agatha Christie,1937
0425267067,Fever,Maya Banks,2013
052595158X,Caught,Harlan Coben,2010
1841494186,Matter,Iain M. Banks,2008
0553575376,Excession,Iain M. Banks,1996
1430300612,My Stroke of Insight,Jill Bolte Taylor,2006
0312555113,The Chosen One,Carol Lynch Williams,2009
0385533853,Robopocalypse,Daniel H. Wilson,2011
0553214322,The Island of Dr. Moreau,H.G. Wells,1896
0812974018,Black Swan Green,David Mitchell,2006
0061259349,Secrets of a Summer Night,Lisa Kleypas,2004
1842430351,Jitterbug Perfume,Tom Robbins,1984
0316018600,A Summer Affair,Elin Hilderbrand,2008
0312990960,The Book of Illusions,Paul Auster,2002
0060987049,Microserfs,Douglas Coupland,1995
0553258478,Exodus,Leon Uris,1958
0451209303,The Unlikely Spy,Daniel Silva,1996
0515142883,Holding the Dream,Nora Roberts,1996
0316036064,How to Save a Life,Sara Zarr,2011
1476789630,Luckiest Girl Alive,Jessica Knoll,2015
0345330137,Double Star,Robert A. Heinlein,1956
0399252517,Brown Girl Dreaming,Jacqueline Woodson,2014
0142002801,Berlin: The Downfall 1945,Antony Beevor,1998
081297235X,Prep,Curtis Sittenfeld,2005
141699792X,A World Without Heroes,Brandon Mull,2011
0765319853,Little Brother,Cory Doctorow,2008
0330419641,Absolute Power,David Baldacci,1995
0375761411,Texas,James A. Michener,1985
067155302X,Harvest ,Tess Gerritsen,1996
0312591829,Another Piece of My Heart,Jane Green,2012
0671704656,Treasure,Clive Cussler,1988
1250049377,Landline,Rainbow Rowell,2014
067972477X,"I, Claudius",Robert Graves,1934
0091940737,How to Be a Woman,Caitlin Moran,2011
2290011150,Alien,Alan Dean Foster,1979
0385339593,The Summons,John Grisham,2002
0758266944,Kiss of Frost,Jennifer Estep,2011
0446364800,The General's Daughter,Nelson DeMille,1992
1682305031,Broken prince,Erin Watt,2016
0767904427,Going After Cacciato,Tim O'Brien,1978
0375421874,The Minority Report,Philip K. Dick,1956
1400063841,Last Night in Twisted River,John Irving,2009
0842382895,Return,"Karen Kingsbury, Gary Smalley",2003
0393312801,The Acid House,Irvine Welsh,1994
0060584025,Metro Girl,Janet Evanovich,2004
0399153357,The Messenger,Daniel Silva,2006
0670020486,The Piano Teacher,Janice Y.K. Lee,2008
1442422017,The Pledge,Kimberly Derting,2011
0385337930,A Painted House,John Grisham,2001
0425247546,Kiss the Dead,Laurell K. Hamilton,2012
0765316897,The Hero of Ages,Brandon Sanderson,2008
0786887079,Lipstick Jungle,Candace Bushnell,2005
1585673927,"Carry On, Jeeves",P.G. Wodehouse,1925
0345335651,Queen of Sorcery,David Eddings,1982
0545142997,Numbers,Rachel Ward,2008
0763631620,The Gift,Alison Croggon,2002
0061043559,Murder Must Advertise,Dorothy L. Sayers,1933
0375703861,White Teeth,Zadie Smith,1999
1501117203,Scrappy Little Nobody,Anna Kendrick,2016
0399256202,The Invaders,John Flanagan,2012
0684193957,All That Remains,Patricia Cornwell,1992
0618007016,The Three Pigs,David Wiesner,2001
0857532014,The Screaming Staircase,Jonathan Stroud,2013
0060788380,For a Few Demons More ,Kim Harrison,2007
0679746048,"Girl, Interrupted",Susanna Kaysen,1993
0061474096,Anathem,Neal Stephenson,2008
0425150984,Glory in Death,J.D. Robb,1995
0439474299,Midnight for Charlie Bone,Jenny Nimmo,2002
1414339364,Growing up Amish,Ira Wagler,2011
0425208435,Dragon Tears,Dean Koontz,1993
0061714305,Sandman Slim,Richard Kadrey,2009
0439903440,Swindle,Gordon Korman,2008
0142301515,Crown Duel ,Sherwood Smith,1997
0312241224,Birds of America: Stories,Lorrie Moore,1998
1595540075,Adam,Ted Dekker,2008
0312374976,Sworn to Silence,Linda Castillo,2009
0060827645,Twilight,Erin Hunter,2006
038549081X,The Handmaid's Tale,Margaret Atwood,1985
0062409859,Go Set a Watchman,Harper Lee,2015
038534385X,Homer's Odyssey ,Gwen Cooper,2009
0805080481,The Book of Three,Lloyd Alexander,1964
0425134350,Patriot Games,Tom Clancy,1987
0006513220,The Bronze Horseman,Paullina Simons,2001
0545540607,Sisters,Raina Telgemeier,2014
0557489563,Flutter,Amanda Hocking,2010
0571215289,The Secret Scripture,Sebastian Barry,2008
0345451902,The Last Detective,Robert Crais,2003
0062085611,Sweet Evil,Wendy Higgins,2012
0449000664,K is for Killer,Sue Grafton,1994
0590396056,Magic Steps,Tamora Pierce,2000
0671004239,The Locket,Richard Paul Evans,1998
0553803077,Sickened,Julie Gregory,2003
0545324092,The Medusa Plot,Gordon Korman,2011
0575077883,Before They Are Hanged,Joe Abercrombie,2007
0385515049,The Appeal,John Grisham,2008
0062285637,Four: The Transfer,Veronica Roth,2013
0670026638,A Tale for the Time Being,Ruth Ozeki,2013
0060837381,The Fixer Upper,Mary Kay Andrews,2009
1250015545,The Good House,Ann Leary,2013
0152010661,Time for Bed,"Mem Fox, Jane Dyer",1993
0440421705,Hoot,Carl Hiaasen,2002
0374116342,Breath,Tim Winton,2008
0316068225,This is Water,David Foster Wallace,2009
0375700811,The Executioner's Song,Norman Mailer,1979
0143035746,The Liars' Club: A Memoir,Mary Karr,1995
158648303X,Auschwitz: A New History,Laurence Rees,2005
0060988657,Mirror Mirror,Gregory Maguire,2003
0375758232,Paris to the Moon,Adam Gopnik,2000
0679728740,Child of God,Cormac McCarthy,1973
0340893613,Sapphique,Catherine Fisher,2000
0425212696,S is for Silence,Sue Grafton,2005
0753453800,Treasure Island,Robert Louis Stevenson,1882
1594488878,"Juliet, Naked",Nick Hornby,2009
0312361270,The Gatecrasher,Madeleine Wickham,1998
031298166X,Crooked House,Agatha Christie,1949
1846164257,The Fire Eternal,Chris d'Lacey,2007
0886773687,Armor,John Steakley,1984
0743227441,The Other Boleyn Girl,Philippa Gregory,2001
0451219953,The Last Templar,Raymond Khoury,2006
0802135781,Sexing the Cherry,Jeanette Winterson,1989
0671733419,Women Who Love Too Much,Robin Norwood,1985
0330411969,Dissolution,C.J. Sansom,2003
0765326582,The Gate Thief,Orson Scott Card,2013
0525952926,Winter of the World,Ken Follett,2012
0312936222,Ten Big Ones,Janet Evanovich,2004
042510687X,Outbreak,Robin Cook,1987
0141183535,A Room of One's Own,Virginia Woolf,1929
0747553866,Pastoralia,George Saunders,2000
1442454148,Rise of the Elgen,Richard Paul Evans,2012
0142406139,Eagle Strike,Anthony Horowitz,2003
0670061107,That Summer,Sarah Dessen,1996
0385537131,Sycamore Row,John Grisham,2013
0061351423,Slash,"Slash, Anthony Bozza",2007
0553153382,Anastasia Krupnik,Lois Lowry,1978
0451200810,North and South,John Jakes,1982
1844285073,Curious George Rides a Bike,H.A. Rey,1952
0007169957,There's a Wocket in My Pocket,Dr. Seuss,1974
0425169693,Here on Earth ,Alice Hoffman,1997
0671702513,The Prize,Julie Garwood,1991
0671449028,The Going-To-Bed Book,Sandra Boynton,1982
1416599398,Extreme Measures,Vince Flynn,2008
076532699X,The Goblin Emperor,Katherine Addison,2014
0380821214,Eric,Terry Pratchett,1990
0515133310,Echo Burning,Lee Child,2001
0002314576,Lord Edgware Dies,Agatha Christie,1933
1250095255,Caraval,Stephanie Garber,2017
0142001740,The Secret Life of Bees,Sue Monk Kidd,2001
0380756277,Prisoner of my desire ,Johanna Lindsey,1991
0345427637,The Angel of Darkness,Caleb Carr,1997
1439102430,Bones Are Forever,Kathy Reichs,2012
1451686633,The Passenger,Lisa Lutz,2016
0743272498,The Constant Princess,Philippa Gregory,2005
0142408808,Superfudge,Judy Blume,1980
0385338600,A Time to Kill,John Grisham,1989
0802139256,Peace Like a River,Leif Enger,2001
0312932812,Crazy For You,Jennifer Crusie,1999
1599900734,Princess Academy,Shannon Hale,2005
0767907817,Bookends,Jane Green,2000
0399216197,Lon Po Po,Ed Young,1989
1400063973,The 19th Wife,David Ebershoff,2008
0553381334,A Man in Full,Tom Wolfe,1998
0441013406,Academ's Fury,Jim Butcher,2005
1594488800,The Little Stranger,Sarah Waters,2009
0812520475,Eon,Greg Bear,1984
0767903862,Down Under,Bill Bryson,2000
1595143181,The Golden Lily,Richelle Mead,2012
1250006325,Torn,Amanda Hocking,2010
0156007479,Slammerkin,Emma Donoghue,2000
0007524277,Allegiant,Veronica Roth,2013
0449818438,Mitosis,Brandon Sanderson,2013
0140186301,Lucky Jim,"Kingsley Amis, David Lodge",1954
1627792120,Six of Crows,Leigh Bardugo,2015
0394574753,The Crossing ,Cormac McCarthy,1994
1416516859,Deep Six,Clive Cussler,1984
0804179034,Uprooted,Naomi Novik,2015
1400031702,The Secret History,Donna Tartt,1992
1416995552,It's Not Summer Without You,Jenny Han,2010
0449912426,Drei Kameraden,Erich Maria Remarque,1936
0060788194,A Fistful of Charms,Kim Harrison,2006
0345457714,Broken Angels,Richard K. Morgan,2003
0446195510,True Blue,David Baldacci,2009
0060764902,The magician's nephew,C.S. Lewis,1953
0679720219,La peste,"Albert Camus, Stuart Gilbert",1947
0061140988,The Fury and Dark Reunion,L.J. Smith,2007
0060725125,Ninth Key,Meg Cabot,2001
0061345725,Envy,Anna Godbersen,2009
0241141826,Skippy Dies,Paul Murray,2010
0399214577,Owl Moon,"Jane Yolen, John Schoenherr",1987
0385344228,Defending Jacob,William Landay,2012
0312306342,Plum Lovin',Janet Evanovich,2007
0060562498,It Happened One Autumn,Lisa Kleypas,2005
1476728747,The Wright Brothers,David McCullough,2015
0575077166,The Prefect,Alastair Reynolds,2007
074347788X,Undaunted Courage,Stephen E. Ambrose,1996
1400068312,Sisterland,Curtis Sittenfeld,2013
038533916X,Bloodfever,Karen Marie Moning,2007
1557488150,In His Steps,Charles M. Sheldon,1896
1467964409,Wife by wednesday,Catherine Bybee,2011
1439172560,The First Bad Man,Miranda July,2015
006621131X,Just Kids,Patti Smith,2010
0060596988,Lit,Mary Karr,2008
014023828X,The Tortilla Curtain,T.C. Boyle,1995
1741662095,Erak's Ransom,John Flanagan,2007
0345485750,The Alexandria Link,Steve Berry,2007
0061240850,Anybody Out There?,Marian Keyes,2006
0440243750,Summer Sisters,Judy Blume,1998
0765348276,Old Man's War,John Scalzi,2005
0452287898,Love Walked In,Marisa de los Santos,2005
0440240948,The Gates of Rome,Conn Iggulden,2002
0307599469,Seating Arrangements,Maggie Shipstead,2012
0374324913,Lockdown,Alexander Gordon Smith,2009
0143039946,Gravity's Rainbow,Thomas Pynchon,1973
0345485777,The Venetian Betrayal,Steve Berry,2007
0060855924,The Colour of Magic,Terry Pratchett,1983
1455520616,See Me,Nicholas Sparks,2015
1585673692,True Grit,Charles Portis,1968
1897299214,Pyongyang,Guy Delisle,2003
0553582453,The Golden Fool,Robin Hobb,2002
0767919408,One Summer: America 1927,Bill Bryson,2013
0312650094,Outpost,Ann Aguirre,2012
0439679966,Evil Star,Anthony Horowitz,2006
1781162646,Joyland,Stephen King,2013
0515141399,Blue Smoke,Nora Roberts,2005
0671737635,Something Wonderful,Judith McNaught,1988
0425141233,Winter Prey,John Sandford,1993
0385743580,Firefight,Brandon Sanderson,2015
045146379X,Ghost Story,Jim Butcher,2011
0670072818,Finnikin of the Rock,Melina Marchetta,2008
044619154X,Witness,Sandra Brown,1995
0451460936,Touch the Dark,Karen Chance,2006
0373210515,The Immortal Rules,Julie Kagawa,2012
0151189781,Collected Poems 1909-1962,T.S. Eliot,1963
0345417968,The 158-Pound Marriage,John Irving,1974
0060724617,Princess Mia,Meg Cabot,2007
0345324390,The Gods of Mars,Edgar Rice Burroughs,1913
1594482306,The Night Watch,Sarah Waters,2006
1414310552,Danger in the Shadows,Dee Henderson,1999
0385339674,The Brethren,John Grisham,2000
0751554154,I Let You Go,Clare Mackintosh,2016
0399250484,Slam,Nick Hornby,2007
1400052297,A Piece of Cake: A Memoir,Cupcake Brown,2006
1442436646,Poison Princess,Kresley Cole,2012
0545415071,Underworld,Meg Cabot,2012
1501111671,The Bazaar of Bad Dreams,Stephen King,2015
0099267543,Timequake,Kurt Vonnegut Jr.,1997
151166066X,The Mistake,Elle Kennedy,2015
0553820273,Succubus Heat,Richelle Mead,2009
0316032220,Beat the Reaper,Josh Bazell,2008
0451210557,No Second Chance,Harlan Coben,2003
1594205418,Funny Girl,Nick Hornby,2014
0099489988,Watermelon,Marian Keyes,1995
0061059927,Dark Reunion,L.J. Smith,1991
0446616621,Night Fall,Nelson DeMille,2004
0316735507,Eat to Live,Joel Fuhrman,2003
0812551494,Soul of the Fire,Terry Goodkind,1999
0809510839,Carmilla,J. Sheridan Le Fanu,1872
1857236653,The King Beyond the Gate,David Gemmell,1985
0373772467,The Darkest Night,Gena Showalter,2008
0099437597,In Watermelon Sugar,Richard Brautigan,1968
0802135226,The Passion,Jeanette Winterson,1987
0060725133,Reunion,Meg Cabot,2001
0743297334,The Sun Also Rises,Ernest Hemingway,1926
0758266928,Touch of Frost,Jennifer Estep,2011
0307271080,Americanah,Chimamanda Ngozi Adichie,2013
0451457811,Storm Front,Jim Butcher,2000
0345335457,Magician's Gambit,David Eddings,1983
0425176657,Belinda,"Anne Rice, Anne Rampling",1986
0061092037,The Fourth Estate,Jeffrey Archer,1996
0345418476,The One Tree,Stephen R. Donaldson,1982
0312348266,Secrets of a shoe addict,Beth Harbison,2008
0345450728,Distant Shores,Kristin Hannah,2002
0446546933,Columbine,Dave Cullen,2009
0810970686,The Last Straw,Jeff Kinney,2009
0062285505,The Enchanted,Rene Denfeld,2014
0758232004,Succubus Shadows ,Richelle Mead,2010
0375829830,Saving Francesca,Melina Marchetta,2003
0586064176,Silverthorn,Raymond E. Feist,1985
0679889108,The Lorax,Dr. Seuss,1971
0140309276,Homer Price,Robert McCloskey,1942
0765348810,House of Chains,Steven Erikson,2004
1423157370,The Darkest Minds,Alexandra Bracken,2012
0374384681,The Winner's Curse,Marie Rutkoski,2014
0140157727,Virtual Light,William Gibson,1993
0374260508,The Sellout,Paul Beatty,2015
0316296198,The Magus,John Fowles,1965
147675666X,We Are Not Ourselves,Matthew  Thomas,2014
0312380828,Come Home,Lisa Scottoline,2012
0545040523,Airhead ,Meg Cabot,2008
0552152676,Thud!,Terry Pratchett,2006
0446531383,Strange Highways,Dean Koontz,1995
0312992424,Night Play,Sherrilyn Kenyon,2004
0451529308,Little Women,Louisa May Alcott,1868
0061128643,Lost & Found,Jacqueline Sheehan,2007
0007120710,Sad Cypress,Agatha Christie,1940
1408810441,Entice,Carrie Jones,2010
0345545966,Ashley Bell,Dean Koontz,2015
1582346178,A Year in the Merde,Stephen Clarke,2004
0553588265,Forever Odd,Dean Koontz,2005
0618724834,The Wednesday Wars,Gary D. Schmidt,2007
0062014536,Requiem,Lauren Oliver,2013
0786838922,Blue Bloods,Melissa de la Cruz,2006
0394757688,The Long Goodbye,Raymond Chandler,1953
0007158491,Hop on Pop,Dr. Seuss,1963
1456527738,Sempre,J.M. Darhower,2014
0679456201,My Life on the Road,Gloria Steinem,2015
0439700930,The Dark Hills Divide,Patrick Carman,2003
0307376656,La catedral del mar,Ildefonso Falcones,2006
1741663024,Halt's Peril,John Flanagan,2009
0333761189,The Rats,James Herbert,1974
0062059998,The One,Kiera Cass,2014
0749934433,Imitation in Death,J.D. Robb,2003
0375758771,The Glass Palace,Amitav Ghosh,2000
3552060413,Gut gegen Nordwind,Daniel Glattauer,2006
1400043875,The Ruins,Scott B. Smith,2006
1612187145,Not Quite Dating,Catherine Bybee,2012
1595141715,Thirteen Reasons Why,Jay Asher,2007
0385528043,The Confession,John Grisham,2010
0060557818,Neverwhere,Neil Gaiman,1996
0440339340,Worth Dying For,Lee Child,2010
0440222656,The Horse Whisperer,Nicholas Evans,1995
0440244498,Veil of Midnight,Lara Adrian,2008
0316955108,The Caine Mutiny,Herman Wouk,1951
1400097037,Arthur & George,Julian Barnes,2005
0345539478,Unseen,Karin Slaughter,2013
0374193681,The Lover's Dictionary,David Levithan,2011
1419953249,The Sweet Gum Tree,Katherine Allred,2005
1416586571,The Apostle,Brad Thor,2009
0553589482,The Search,Iris Johansen,2000
0553282980,Dead Poets Society ,N.H. Kleinbaum,1988
0064472809,Princess in Love,Meg Cabot,2001
0061784796,Bloodline,James Rollins,2012
0312957572,The Seventh Scroll,Wilbur Smith,1995
0312423799,Dry: A Memoir,Augusten Burroughs,2003
044023803X,Hawksong,Amelia Atwater-Rhodes,2003
0061998168,Every Thing On It,Shel Silverstein,2011
0312569033,Monument 14,Emmy Laybourne,2012
0140280464,My Year of Meats,Ruth Ozeki,1998
0525951989,Attachments,Rainbow Rowell,2011
1841499889,Leviathan Wakes,James S.A. Corey,2011
0307381757,The Heretic Queen,Michelle Moran,2008
0373210272,My Soul to Steal,Rachel Vincent,2010
1596436581,In Real Life,"Cory Doctorow, Jen Wang",2014
0440245265,Shades of Midnight,Lara Adrian,2009
141655484X,Blaze,"Richard Bachman, Stephen King",2007
0375836977,A Color of His Own,Leo Lionni,1975
014131088X,Speak,Laurie Halse Anderson,1999
1419702173,My Friend Dahmer,Derf Backderf,2012
0316037834,The Ambassador's Mission,Trudi Canavan,2010
0670012254,Keep Holding On,Susane Colasanti,2012
1476759545,A Beautiful Wedding,Jamie McGuire,2013
0553575651,Ship of Destiny,Robin Hobb,2000
0143036661,March,Geraldine Brooks,2004
044101769X,First Lord's Fury,Jim Butcher,2008
0142003239,Live and Let Die,Ian Fleming,1954
1416963987,Doll Bones,"Holly Black, Eliza Wheeler",2013
0671725661,West Side Story,Irving Shulman,1961
0441010644,Chasm City,Alastair Reynolds,2001
0307590615,Decision Points,George W. Bush,2010
147111810X,UnSouled,Neal Shusterman,2013
0062422960,Queen Song,Victoria Aveyard,2015
0312595670,Still Missing,Chevy Stevens,2010
0060577363,Flyte,"Angie Sage, Mark Zug",2006
0441012396,Deerskin,Robin McKinley,1993
0451165667,Fatal Vision,Joe McGinniss,1983
0385755929,Holding Up the Universe,Jennifer Niven,2016
0545424941,The Dream Thieves,Maggie Stiefvater,2013
0446611778,Last Man Standing,David Baldacci,2001
0307277887,Darkly Dreaming Dexter,Jeff Lindsay,2004
0702229784,Oscar and Lucinda,Peter Carey,1988
0515142867,Midnight Bayou,Nora Roberts,2001
0451215710,Whiteout,Ken Follett,2004
0451220897,The Dead Girls' Dance,Rachel Caine,2007
031608106X,Deadline,Mira Grant,2011
1595143998,Shades of Earth,Beth Revis,2013
0312537409,Abandon,Blake Crouch,2009
0062107313,The Valley of Amazement,Amy Tan,2013
0515128554,Heart of the Sea,Nora Roberts,2000
074326603X,Imperium,Robert   Harris,2006
1616960922,The Emperor's Soul,Brandon Sanderson,2012
0452286034,Bitten,Kelley Armstrong,2001
0142407380,Ark Angel,Anthony Horowitz,2005
0425285049,The Girl Before,J.P. Delaney,2017
0060741872,"Alas, Babylon",Pat Frank,1959
0452283868,Sula,Toni Morrison,1973
042520426X,Origin in Death,J.D. Robb,2005
0061143316,Promise Not to Tell,Jennifer McMahon,2007
0679772669,In the Skin of a Lion,Michael Ondaatje,1987
043977134X,Gregor the Overlander,Suzanne Collins,2003
0440244501,Ashes of Midnight,Lara Adrian,2009
0375705198,Amy & Isabelle,Elizabeth Strout,1998
1442444924,Winger,Andrew  Smith,2013
055357342X,A Storm of Swords,George R.R. Martin,2000
0812976142,The Alienist,Caleb Carr,1994
0425204308,Broken Prey,John Sandford,2005
145161747X,The Dovekeepers,Alice Hoffman,2011
0345481305,Black Powder War,Naomi Novik,2006
0385742886,The Kill Order,James Dashner,2012
0312305060,The Hours,Michael Cunningham,1998
0061566128,Killer ,Sara Shepard,2009
0312933533,Honour Among Thieves,Jeffrey Archer,1993
0804136572,Ex-Heroes,Peter Clines,2010
0743249291,Wideacre,Philippa Gregory,1987
0842345523,More Than a Carpenter,Josh McDowell,1977
0806512814,Johnny Got His Gun,Dalton Trumbo,1939
0312265050,The Naked and the Dead,Norman Mailer,1948
0061922315,Secret Daughter,Shilpi Somaya Gowda,2010
1400067111,Shanghai Girls,Lisa See,2009
0385350813,Dept. of Speculation,Jenny Offill,2014
0515138819,Sunshine,Robin McKinley,2003
0060012382,The Wee Free Men,Terry Pratchett,2003
1476727910,The Humans,Matt Haig,2013
1595143173,Bloodlines,Richelle Mead,2011
0451459407,Death Masks,Jim Butcher,2003
0613371658,The Princess Diaries,Meg Cabot,2000
0152002650,Mouse Paint,Ellen Stoll Walsh,1989
1579126294,A Murder is Announced,Agatha Christie,1950
1480114480,The Proposition,Katie Ashley,2012
1408808870,The Finkler Question,Howard Jacobson,2010
0743271181,Takedown,Brad Thor,2006
0812508424,Shadows Linger,Glen Cook,1984
0679722769,Ulysses,James Joyce,1922
1596430699,Bad Kitty,Nick Bruel,2005
0553269828,Sundiver,David Brin,1980
0786851473,The Arctic Incident,Eoin Colfer,2002
0786891122,Brain Droppings,George Carlin,1997
0062124366,Hana,Lauren Oliver,2011
1862301387,Redwall,Brian Jacques,1986
0803733062,Savvy,Ingrid Law,2008
0399256180,The Lost Stories,John Flanagan,2011
0451412702,Curse the Dawn,Karen Chance,2009
0345494997,Loving Frank,Nancy Horan,2007
0385525001,Playing For Pizza,John Grisham,2007
0767905180,Jemima J,Jane Green,2001
061579615X,Damaged,H.M. Ward,2013
0345419391,The Renegades of Pern,Anne McCaffrey,1989
0590920685,Ella Enchanted,Gail Carson Levine,1997
0312380720,Look Again,Lisa Scottoline,2009
0345803507,Fifty Shades Freed,E.L. James,2012
1571316515,Perfect,Natasha Friend,2004
0099910101,A Farewell to Arms,Ernest Hemingway,1929
0425213617,Wicked Ties,Shayla Black,2007
0786818611,Ptolemy's Gate,Jonathan Stroud,2006
0446585025,Seriously...I'm Kidding,Ellen DeGeneres,2011
0373210639,Dare You To,Katie McGarry,2013
0385486804,Into the Wild,Jon Krakauer,1996
0307263991,Swamplandia!,Karen Russell,2011
1502541858,Beautiful Redemption,Jamie McGuire,2015
125005480X,The Book of Speculation,Erika Swyler,2015
0062208195,Destroy Me,Tahereh Mafi,2012
0385738757,The Scorch Trials,James Dashner,2010
1416516352,Transfer of Power,Vince Flynn,1999
0061974552,The Power of Six,Pittacus Lore,2011
0060755865,Avalon High,Meg Cabot,2005
0425116840,The Cardinal of the Kremlin,Tom Clancy,1988
0312937660,Scarecrow,Matthew Reilly,2003
057506689X,Soul Music,Terry Pratchett,1994
0525952993,The Last Runaway,Tracy Chevalier,2013
009947137X,The Mummy,Anne Rice,1989
0452287057,Bastard Out of Carolina,Dorothy Allison,1992
0545060451,The Black Circle,Patrick Carman,2009
0525951059,Long Lost,Harlan Coben,2009
0316252964,My Cousin Rachel,Daphne du Maurier,1951
1416927883,"Stormy, Misty's Foal",Marguerite Henry,1963
037321099X,Crash Into You,Katie McGarry,2013
0440418518,A Single Shard,Linda Sue Park,2001
1459245954,Afterburn,Sylvia Day,2013
0345505514,The Jefferson Key,Steve Berry,2011
0062116851,Blood of Dragons,Robin Hobb,2013
0425223256,Hostage to Pleasure,Nalini Singh,2008
0802131867,The Subterraneans,Jack Kerouac,1958
140006466X,Peony in Love,Lisa See,2007
0425138232,Eye of the Storm,Jack Higgins,1992
0812970438,Chesapeake,James A. Michener,1978
0575058080,Maskerade,Terry Pratchett,1995
0553578553,Dawn on a Distant Shore,Sara Donati,2000
0006513905,The Dice Man,Luke Rhinehart,1971
0805072454,Peter Pan,"J.M. Barrie, Michael Hague",1904
0385737947,The Maze Runner,James Dashner,2009
0316182540,White Oleander,Janet Fitch,1999
0007325940,Dark Days,Derek Landy,2010
0307272583,Star Island,Carl Hiaasen,2010
0061668036,Wings ,Aprilynne Pike,2009
1579126243,The ABC Murders,Agatha Christie,1936
1595542884,Green,Ted Dekker,2009
0060733497,The Lions of Al-Rassan,Guy Gavriel Kay,1995
0316201642,S.,"J.J. Abrams, Doug Dorst",2013
0307700003,The Buddha in the Attic,Julie Otsuka,2011
044018293X,Suffer the Children,John Saul,1977
0061728934,Summer and the City,Candace Bushnell,2011
0786891076,Shopgirl: A Novella,Steve Martin,2000
0451463803,Grave Witch,Kalayna Price,2010
0743484193,Certain Prey,John Sandford,1999
0778319059,Don't You Cry,Mary Kubica,2016
0345322215,Wielding a Red Sword,Piers Anthony,1986
080411109X,The Hundred Secret Senses,Amy Tan,1995
0152050841,Once Upon a Marigold,Jean Ferris,2002
0345439104,Drowning Ruth,Christina Schwarz,2000
0441019455,Bayou Moon,Ilona Andrews,2010
0451203267,The Stranger Beside Me,Ann Rule,1980
0375509321,Thirteen Moons,Charles Frazier,2006
0142422959,Just One Day,Gayle Forman,2013
0307594165,Home,Toni Morrison,2011
1401303277,For One More Day,Mitch Albom,2006
0440174643,Roots,Alex Haley,1976
1416509372,On Basilisk Station ,David Weber,1992
0061020680,Mort,Terry Pratchett,1987
0452276721,The Ghost Road,Pat Barker,1995
014132063X,Once,Morris Gleitzman,2005
1573229725,Fingersmith,Sarah Waters,2002
0440210690,Indemnity Only,Sara Paretsky,1982
1465341889,Consequences,Aleatha Romig,2011
0345476980,Vanish,Tess Gerritsen,2006
0670026603,Me Before You,Jojo Moyes,2012
030711838X,Just for You,Mercer Mayer,1975
0679774025,All Over But the Shoutin',Rick Bragg,1997
0385736843,The Dead-Tossed Waves ,Carrie Ryan,2010
0345472454,The Amateur Marriage,Anne Tyler,2004
0307356361,The Abstinence Teacher,Tom Perrotta,2007
0802130917,Glengarry Glen Ross,David Mamet,1983
1400066336,The Descendants,Kaui Hart Hemmings,2007
0316013560,The Lion & the Mouse,Jerry Pinkney,2009
0140274219,Wide Sargasso Sea,Jean Rhys,1966
0007157150,Out of the Silent Planet,C.S. Lewis,1938
1596911050,JPod,Douglas Coupland,2006
1250000246,Lenobia's Vow,"P.C. Cast, Kristin Cast",2012
034551548X,Ice Cold,Tess Gerritsen,2010
1596060204,Agent to the stars,John Scalzi,2004
0312539517,Paths of Glory,Jeffrey Archer,2009
0553381660,The Valley of Horses,Jean M. Auel,1982
0553578685,The Third Victim,Lisa Gardner,2001
9381626715,Stay Hungry Stay Foolish,Rashmi Bansal,2008
1847679447,The Last Werewolf,Glen Duncan,2011
0061345660,The Luxe,Anna Godbersen,2007
0060093366,Vampire Kisses,Ellen Schreiber,2003
0441014011,Pushing Ice,Alastair Reynolds,2005
0060725117,Shadowland,Meg Cabot,2000
0007178379,Remarkable Creatures,Tracy Chevalier,2009
031619008X,Etiquette & Espionage,Gail Carriger,2013
0380014300,Nine Princes in Amber,Roger Zelazny,1970
0593046315,Reaper's Gale,Steven Erikson,2007
0425197549,Guilty Pleasures,Laurell K. Hamilton,1993
0312976275,Hot Six,Janet Evanovich,2000
0142401773,Someone Like You,Sarah Dessen,1998
1416521836,Such a Pretty Girl,Laura Wiess,2007
0007208006,The Tea Rose,Jennifer Donnelly,2002
006053284X,Heretic,Bernard Cornwell,2003
1841493007,Living Dead in Dallas,Charlaine Harris,2002
